,Unnamed: 0,Unnamed: 0_x,Unnamed: 0.1,lat,log,IMG_VIS,IMG_SWIR,Unnamed: 0_y,cot,cer,Sun_Elevation,Sat_Elevation,Sat_Azimuth,Sun_Azimuth
4937,2912702,2912702,35639964,23.241,78.361,257,402,1728956.0,878.0,1512.0,8180.904,6238.1597,17115.484,9587.806
4938,2913856,2913856,35649710,23.474,63.177,135,234,2032491.0,1108.0,414.0,6787.723,5538.681,13922.436,9118.566
4939,2914066,2914066,35649920,23.416999999999998,65.436,140,185,2004178.0,2750.0,238.0,6990.8857,5685.3433,14281.661,9182.036
4940,2914418,2914418,35650272,23.34,69.131,349,395,1944905.0,2054.0,2893.0,7326.446,5920.916,14957.915,9354.819
4941,2914475,2914475,35650329,23.33,69.72,290,402,1934131.0,1343.0,1071.0,7379.0293,5945.375,15105.705,9370.531
4942,2914591,2914591,35650445,23.31,70.913,373,428,1911233.0,1091.0,1606.0,7477.764,6032.9297,15325.725,9428.466
4943,2914592,2914592,35650446,23.309,70.923,375,424,1911234.0,1301.0,1778.0,7477.764,6032.9297,15325.725,9428.466
4944,2914763,2914763,35650617,23.284000000000002,72.667,441,197,1874841.0,3553.0,2279.0,7653.386,6078.9116,15663.23,9493.926
4945,2914901,2914901,35650755,23.267,74.063,477,185,1843813.0,4189.0,3692.0,7780.641,6119.8843,16071.811,9493.926
4946,2914965,2914965,35650819,23.26,74.708,458,209,1828965.0,3939.0,4447.0,7835.038,6151.174,16213.975,9456.485
4947,2915074,2915074,35650928,23.249000000000002,75.803,497,222,1799245.0,3460.0,6060.0,7941.2847,6181.2207,16458.295,9456.485
4948,2915146,2915146,35651000,23.243000000000002,76.524,440,236,1781682.0,3183.0,2990.0,7996.8486,6202.4014,16670.902,9456.485
4949,2915174,2915174,35651028,23.241,76.804,527,236,1776280.0,2743.0,1518.0,8038.5806,6214.7183,16715.568,9456.485
4950,2915288,2915288,35651142,23.233,77.942,429,441,1742480.0,2967.0,4621.0,8156.9185,6244.6045,16951.004,9587.806
4951,2916231,2916231,35660677,23.541999999999998,60.388999999999996,72,101,2060827.0,1142.0,238.0,6533.5005,5309.728,13520.207,9009.302
4952,2916496,2916496,35660942,23.46,63.309,213,336,2032497.0,972.0,461.0,6793.0703,5569.2104,13978.053,9118.566
4953,2916606,2916606,35661052,23.429000000000002,64.497,152,260,2014954.0,1063.0,405.0,6908.3413,5615.7163,14151.923,9169.862
4954,2917076,2917076,35661522,23.324,69.443,219,373,1940874.0,1232.0,998.0,7352.6865,5925.483,15050.523,9370.531
4955,2917464,2917464,35661910,23.264,73.407,482,195,1860010.0,4126.0,4788.0,7735.9116,6097.6475,15835.741,9456.485
4956,2917542,2917542,35661988,23.255,74.195,469,186,1842469.0,4146.0,3574.0,7809.3823,6122.7935,16111.059,9456.485
4957,2917696,2917696,35662142,23.239,75.743,518,219,1804658.0,3339.0,7847.0,7926.231,6181.2207,16458.295,9456.485
4958,2917766,2917766,35662212,23.233,76.445,489,227,1784386.0,3619.0,4248.0,7996.8486,6215.999,16599.89,9456.485
4959,2917823,2917823,35662269,23.229,77.015,548,241,1769520.0,3302.0,3035.0,8047.3584,6228.316,16753.777,9456.485
4960,2919013,2919013,35672050,23.482,62.088,205,312,2041925.0,985.0,513.0,6692.8022,5465.26,13756.236,9120.38
4961,2919027,2919027,35672064,23.478,62.242,173,281,2045993.0,930.0,587.0,6702.4395,5466.441,13780.82,9133.804
4962,2919062,2919062,35672099,23.467,62.625,158,275,2043300.0,939.0,533.0,6729.1455,5516.8525,13850.594,9118.566
4963,2919153,2919153,35672190,23.441,63.615,195,304,2027095.0,1021.0,446.0,6817.3447,5598.0884,14004.558,9126.033
4964,2919409,2919409,35672446,23.375999999999998,66.352,136,165,1993409.0,1926.0,240.0,7085.2734,5756.7407,14408.39,9218.69
4965,2919492,2919492,35672529,23.357,67.226,122,149,1979937.0,1320.0,484.0,7150.5127,5796.493,14618.366,9283.772
4966,2919662,2919662,35672699,23.322,68.999,396,400,1950309.0,1559.0,3566.0,7316.1143,5912.923,14924.585,9330.945
4967,2919789,2919789,35672826,23.299,70.309,176,356,1926067.0,1019.0,1224.0,7429.185,5993.402,15203.168,9367.228
4968,2920034,2920034,35673071,23.261,72.81,445,185,1874854.0,3396.0,3036.0,7653.386,6084.787,15801.409,9456.485
4969,2920106,2920106,35673143,23.252,73.54,494,198,1858667.0,3680.0,3624.0,7735.9116,6116.814,15991.768,9456.485
4970,2920377,2920377,35673414,23.224,76.265,544,218,1792501.0,3240.0,4980.0,7996.8486,6212.9956,16579.904,9457.193
4971,2920398,2920398,35673435,23.221999999999998,76.475,492,220,1788450.0,3832.0,11564.0,7996.8486,6215.999,16599.89,9457.193
4972,2921902,2921902,35683530,23.399,64.908,200,309,2016332.0,1141.0,850.0,6946.365,5679.926,14240.556,9182.036
4973,2921981,2921981,35683609,23.379,65.75,99,140,2004199.0,2700.0,175.0,7025.164,5721.917,14390.52,9182.036
4974,2922017,2922017,35683645,23.37,66.131,116,164,1997455.0,631.0,310.0,7052.615,5752.4814,14408.39,9193.647
4975,2922058,2922058,35683686,23.36,66.564,140,174,1992071.0,1811.0,317.0,7094.2544,5757.588,14543.958,9254.954
4976,2922210,2922210,35683838,23.326999999999998,68.158,370,390,1966478.0,1655.0,2563.0,7245.304,5852.5146,14816.308,9306.568
4977,2922615,2922615,35684243,23.256999999999998,72.324,438,197,1886997.0,4266.0,3654.0,7606.359,6062.9727,15660.711,9456.485
4978,2922761,2922761,35684389,23.239,73.803,482,182,1854626.0,3765.0,7068.0,7746.978,6117.144,16071.811,9456.485
4979,2922813,2922813,35684441,23.233,74.327,486,194,1842479.0,3997.0,4160.0,7809.3823,6136.391,16146.098,9456.485
4980,2922925,2922925,35684553,23.221,75.454,518,213,1812765.0,3536.0,7644.0,7900.104,6182.314,16389.615,9457.193
4981,2923143,2923143,35684771,23.204,77.634,555,230,1760070.0,3230.0,15000.0,8099.132,6240.628,16868.955,9474.718
4982,2923259,2923259,35684887,23.198,78.79,319,414,1724910.0,897.0,1139.0,8232.718,6261.7314,17176.77,9694.624
4983,2924210,2924210,35694429,23.48,61.419,187,305,2052734.0,958.0,595.0,6626.965,5416.981,13691.986,9107.695
4984,2924635,2924635,35694854,23.362,66.016,179,265,2000155.0,1565.0,193.0,7052.615,5748.674,14403.947,9182.036
4985,2925056,2925056,35695275,23.276,70.404,332,392,1927431.0,1420.0,1669.0,7451.318,5994.335,15203.168,9367.228
4986,2925194,2925194,35695413,23.254,71.816,448,217,1899136.0,3255.0,15000.0,7590.13,6054.823,15438.626,9446.451
4987,2925452,2925452,35695671,23.221,74.429,478,193,1839778.0,3995.0,5997.0,7809.3823,6151.8203,16151.486,9457.193
4988,2926855,2926855,35705665,23.465,61.598,188,305,2052740.0,951.0,586.0,6655.578,5426.4014,13702.507,9092.458
4989,2927062,2927062,35705872,23.404,63.858000000000004,189,285,2028461.0,932.0,553.0,6841.904,5634.404,14004.558,9140.711
4990,2927132,2927132,35705942,23.385,64.611,126,199,2021731.0,1278.0,450.0,6917.1963,5669.774,14151.923,9169.862
4991,2927259,2927259,35706069,23.353,65.965,129,182,2004214.0,1808.0,199.0,7026.5684,5748.674,14395.301,9182.036
4992,2927588,2927588,35706398,23.283,69.406,233,370,1947641.0,1399.0,1538.0,7352.6865,5925.483,15050.523,9344.005
4993,2927616,2927616,35706426,23.278000000000002,69.695,334,431,1942254.0,1279.0,1876.0,7379.0293,5945.375,15105.705,9344.005
4994,2927679,2927679,35706489,23.267,70.344,242,382,1930133.0,1151.0,2543.0,7429.185,5994.335,15203.168,9367.228
4995,2927928,2927928,35706738,23.229,72.884,453,186,1877569.0,3976.0,3299.0,7653.386,6098.385,15801.409,9456.485
4996,2928361,2928361,35707171,23.186,77.236,532,219,1773593.0,2848.0,9350.0,8072.7056,6228.316,16802.096,9457.193
4997,2929786,2929786,35717186,23.368000000000002,64.87,221,322,2020392.0,1351.0,371.0,6946.365,5679.926,14237.014,9182.036
4998,2929925,2929925,35717325,23.334,66.347,117,156,1998825.0,2774.0,183.0,7085.2734,5756.7407,14408.39,9219.005
